"","green","brown","pink","turquoise","tan","purple","magenta","blue","red","midnightblue","salmon","darkturquoise","yellow","greenyellow","darkred","black","orange","royalblue","lightyellow","lightgreen","cyan","lightcyan","grey60","darkgreen","darkgrey"
"Vitvi02g01360",0,0,0,0.00215749730312837,0,0,0.00542740841248304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi02g04106",0,0.00746965452847806,0,0,0,0,0,0.0918992511912866,0,0,0,0,0,0.00193423597678917,0,0,0,0,0.00179856115107914,0,0,0,0,0,0
"Vitvi03g00318",0,0,0,0,0,0.00162074554294976,0,0,0,0,0,0,0,0,0,0.00122549019607843,0,0,0,0,0,0,0,0,0
"Vitvi03g00692",0,0,0,0.0539519827353655,0,0,0.00178412132024978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi03g00752",0,0,0,0.00227851494437743,0,0,0,0,0,0,0,0,0.0330350997935306,0,0,0.00113765642775882,0,0,0,0,0,0,0,0,0
"Vitvi03g01258",0,0,0,0.000134156157767642,0,0,0,0,0,0,0,0,0.0249653259361997,0,0,0,0,0,0,0,0.00471698113207547,0,0.0217391304347826,0,0
"Vitvi03g01809",0.065863453815261,0.00275178866263071,0.00114810562571757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi03g04266",0,0,0,0.00200830097737314,0,0,0,0,0,0,0,0,0.0385940730530668,0,0,0,0,0,0,0,0.00220264317180617,0,0,0,0
"Vitvi03g04466",0,0,0,0.000268997982515131,0,0,0,0,0,0,0,0,0.00343642611683849,0,0,0,0,0,0,0,0.0124069478908189,0,0.0828025477707006,0,0
"Vitvi04g00017",0,0,0,0.00862301266504985,0,0,0,0,0.00659340659340659,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0186046511627907,0,0
"Vitvi04g01254",0,0,0,0,0,0.0031104199066874,0,0.000226398007697532,0,0,0,0,0.0173611111111111,0.0015600624024961,0,0,0,0,0,0,0,0,0,0,0
"Vitvi04g01325",0.0134281200631912,0.00169014084507042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235294117647059
"Vitvi04g01375",0.0150674068199841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217821782178218
"Vitvi04g01550",0,0.00996810207336523,0,0,0,0,0,0.173263967428184,0,0,0,0,0,0.000709219858156028,0,0,0,0,0.00756756756756757,0,0,0,0,0,0
"Vitvi04g01555",0,0,0,0.00120611096220852,0,0.00297619047619048,0,0,0,0,0,0,0.033195020746888,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi04g01887",0,0.00938735177865613,0,0,0,0,0,0.0648379052369077,0,0,0,0,0,0,0,0,0,0,0.0091324200913242,0,0,0,0,0,0
"Vitvi04g02114",0,0,0,0.00256133728767862,0,0,0,0,0,0,0,0,0.00412654745529574,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi04g04009",0,0,0,0.000400213447171825,0,0,0.00123915737298637,0,0,0,0,0,0.00263504611330698,0,0,0.094775212636695,0,0,0,0,0,0,0,0,0
"Vitvi04g04010",0,0,0,0.000938715301059407,0,0,0,0,0,0,0,0,0.0297783933518006,0,0,0.00231481481481481,0,0,0,0,0,0,0,0,0
"Vitvi04g04011",0,0,0,0.00147433319930304,0,0,0,0,0,0,0,0,0.0331720801658604,0,0,0.0011454753722795,0,0,0,0,0,0,0,0,0
"Vitvi04g04029",0,0,0,0.000404094827586207,0,0,0,0,0,0,0,0,0.000690131124913734,0,0,0,0,0,0,0,0.0127226463104326,0,0.038961038961039,0,0
"Vitvi05g00028",0,0.0153276955602537,0,0,0,0,0,0.0357708852162101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi05g00108",0,0.00918762088974855,0,0,0,0,0,0.0740824648844585,0,0,0,0,0,0,0,0,0,0,0.0146137787056367,0,0,0,0,0,0
"Vitvi05g00145",0,0.00223214285714286,0.0023696682464455,0,0,0,0,0.0122838944494995,0,0,0,0,0,0,0,0,0,0,0,0.00497512437810945,0,0,0,0,0
"Vitvi05g00726",0,0.0101867572156197,0,0,0,0,0,0.00726117540276832,0,0,0,0,0,0,0,0,0,0,0.00546448087431694,0,0,0,0,0,0
"Vitvi05g01400",0,0.00111794298490777,0.0578616352201258,0,0,0,0,0.00135165577832845,0,0,0,0,0,0,0,0,0,0,0,0.0154639175257732,0,0,0,0,0
"Vitvi05g01579",0.056406124093473,0,0.00234192037470726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi05g01674",0.00750187546886722,0.0320044918585065,0.00225733634311512,0,0,0,0,0.00785281579537806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
