"variant","method","matrix","module","size"
"GCNA_protected","GCNA","protected","Vitvi01g04115",73
"GCNA_protected","GCNA","protected","Vitvi01g04132",17
"GCNA_protected","GCNA","protected","Vitvi02g00032",1042
"GCNA_protected","GCNA","protected","Vitvi02g00056",52
"GCNA_protected","GCNA","protected","Vitvi02g00086",83
"GCNA_protected","GCNA","protected","Vitvi02g00429",469
"GCNA_protected","GCNA","protected","Vitvi02g00446",366
"GCNA_protected","GCNA","protected","Vitvi02g01355",308
"GCNA_protected","GCNA","protected","Vitvi02g01360",20
"GCNA_protected","GCNA","protected","Vitvi02g04106",424
"GCNA_protected","GCNA","protected","Vitvi03g00318",3
"GCNA_protected","GCNA","protected","Vitvi03g00692",402
"GCNA_protected","GCNA","protected","Vitvi03g00752",66
"GCNA_protected","GCNA","protected","Vitvi03g01258",43
"GCNA_protected","GCNA","protected","Vitvi03g01809",88
"GCNA_protected","GCNA","protected","Vitvi03g04266",72
"GCNA_protected","GCNA","protected","Vitvi03g04466",25
"GCNA_protected","GCNA","protected","Vitvi04g00017",74
"GCNA_protected","GCNA","protected","Vitvi04g01254",30
"GCNA_protected","GCNA","protected","Vitvi04g01325",44
"GCNA_protected","GCNA","protected","Vitvi04g01375",41
"GCNA_protected","GCNA","protected","Vitvi04g01550",799
"GCNA_protected","GCNA","protected","Vitvi04g01555",59
"GCNA_protected","GCNA","protected","Vitvi04g01887",309
"GCNA_protected","GCNA","protected","Vitvi04g02114",25
"GCNA_protected","GCNA","protected","Vitvi04g04009",87
"GCNA_protected","GCNA","protected","Vitvi04g04010",52
"GCNA_protected","GCNA","protected","Vitvi04g04011",60
"GCNA_protected","GCNA","protected","Vitvi04g04029",15
"GCNA_protected","GCNA","protected","Vitvi05g00028",187
"GCNA_protected","GCNA","protected","Vitvi05g00108",353
"GCNA_protected","GCNA","protected","Vitvi05g00145",62
"GCNA_protected","GCNA","protected","Vitvi05g00726",51
"GCNA_protected","GCNA","protected","Vitvi05g01400",57
"GCNA_protected","GCNA","protected","Vitvi05g01579",72
"GCNA_protected","GCNA","protected","Vitvi05g01674",104
"GCNA_protected","GCNA","protected","Vitvi05g04232",34
"GCNA_protected","GCNA","protected","Vitvi06g01410",97
"GCNA_protected","GCNA","protected","Vitvi06g01618",104
"GCNA_protected","GCNA","protected","Vitvi06g04121",71
"GCNA_protected","GCNA","protected","Vitvi07g00283",34
"GCNA_protected","GCNA","protected","Vitvi07g00523",584
"GCNA_protected","GCNA","protected","Vitvi07g01267",686
"GCNA_protected","GCNA","protected","Vitvi07g01315",91
"GCNA_protected","GCNA","protected","Vitvi07g01342",315
"GCNA_protected","GCNA","protected","Vitvi07g01407",54
"GCNA_protected","GCNA","protected","Vitvi07g01718",56
"GCNA_protected","GCNA","protected","Vitvi07g01719",39
"GCNA_protected","GCNA","protected","Vitvi07g02832",142
"GCNA_protected","GCNA","protected","Vitvi07g03086",100
"GCNA_protected","GCNA","protected","Vitvi08g00957",23
"GCNA_protected","GCNA","protected","Vitvi08g01333",51
"GCNA_protected","GCNA","protected","Vitvi08g01617",36
"GCNA_protected","GCNA","protected","Vitvi08g01846",16
"GCNA_protected","GCNA","protected","Vitvi08g01897",33
"GCNA_protected","GCNA","protected","Vitvi08g02218",79
"GCNA_protected","GCNA","protected","Vitvi08g02288",60
"GCNA_protected","GCNA","protected","Vitvi09g00419",98
"GCNA_protected","GCNA","protected","Vitvi09g00867",74
"GCNA_protected","GCNA","protected","Vitvi09g01646",8
"GCNA_protected","GCNA","protected","Vitvi09g01698",24
"GCNA_protected","GCNA","protected","Vitvi09g04280",53
"GCNA_protected","GCNA","protected","Vitvi09g04564",89
"GCNA_protected","GCNA","protected","Vitvi10g00984",80
"GCNA_protected","GCNA","protected","Vitvi10g01812",309
"GCNA_protected","GCNA","protected","Vitvi10g04044",77
