"","salmon","brown","magenta","turquoise","greenyellow","royalblue","tan","black","red","floralwhite","blue","yellow","pink","skyblue3","steelblue","green","yellowgreen","darkorange","darkgrey","lightcyan","grey60","skyblue","paleturquoise","mediumpurple3","darkgreen","purple","cyan","darkmagenta","white","thistle2","sienna3","lightyellow","maroon","midnightblue","navajowhite2","saddlebrown","lightgreen","lightcyan1","thistle1","bisque4","honeydew1","orange","brown4","lightpink4","plum1","darkred","ivory","darkslateblue","violet","salmon4","plum2","darkturquoise","lightsteelblue1","orangered4","palevioletred3","darkolivegreen","coral1","darkseagreen4","lavenderblush3","darkorange2"
"Vitvi07g01829",0.00375234521575985,0.00612557427258806,0,0,0,0,0,0,0,0,0.154365541327125,0.00224215246636771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi07g02323",0,0,0,0,0,0,0,0.00111607142857143,0,0,0,0,0,0,0,0.149707602339181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi07g03086",0.0043010752688172,0,0.131630648330059,0,0,0,0,0,0,0,0.00253222836095764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi08g00795",0,0.00529100529100529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00970873786407767,0,0,0,0,0.151658767772512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi08g00957",0,0,0,0.000319386777387416,0,0,0.0194647201946472,0.00127877237851662,0.00366300366300366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0123456790123457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi08g01235",0,0,0,0,0,0,0,0.00342857142857143,0,0,0,0,0,0,0,0.123543123543124,0,0,0,0,0.0026246719160105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi08g01333",0,0,0,0,0,0,0,0.0135135135135135,0.0212765957446809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0126582278481013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0954356846473029,0,0,0,0,0,0,0,0
"Vitvi08g01617",0,0,0,0.000956175298804781,0,0,0,0.0165184243964422,0.0157384987893462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi08g01846",0,0,0,0.00128,0,0,0,0,0,0,0,0,0.00141043723554302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi08g01897",0,0,0,0.0054321776641636,0,0,0,0.00619578686493185,0.00591016548463357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi08g02218",0,0,0,0,0,0,0,0.0705289672544081,0.0136830102622577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0509090909090909,0,0,0,0,0,0,0,0
"Vitvi08g02288",0,0,0,0.000158704967465482,0,0,0,0,0,0,0,0,0.00399467376830892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178832116788321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi09g00419",0.0251572327044025,0.0036101083032491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165991902834008,0,0,0,0,0,0,0,0,0,0,0.00813008130081301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi09g00867",0,0,0,0.00158403294788532,0,0,0,0.0739795918367347,0.00456100342075257,0,0,0,0,0,0,0.00215982721382289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi09g01646",0,0,0,0,0,0,0,0,0,0,0.00210526315789474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitvi09g01698",0,0,0.0503018108651912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00769230769230769,0,0,0,0,0,0
