common_name	vitvi_id	source	genotype	timing	log2FC_apeglm	padj_threshold_test	DE_primary
RPS5	Vitvi19g01648	41_retained_homologs	Rpv12	6	-0.333644475484258	1	FALSE
CSLG2	Vitvi02g04029	41_retained_homologs	Rpv12	6	0.0403204167267323	1	FALSE
SRG1	Vitvi02g01473	41_retained_homologs	Rpv12	6	-0.0260498134220479	1	FALSE
RPP13	Vitvi03g01373	41_retained_homologs	Rpv12	6	0.0426514513938209	1	FALSE
RPP13	Vitvi03g04047	41_retained_homologs	Rpv12	6	4.39923009126217	6.98562441368174e-09	TRUE
RPP13	Vitvi03g04050	41_retained_homologs	Rpv12	6	7.98330249171179	3.40864136148341e-10	TRUE
RIPK	Vitvi04g00179	41_retained_homologs	Rpv12	6	-0.0519954186011125	1	FALSE
WRKY51	Vitvi04g00760	41_retained_homologs	Rpv12	6	0.0585948178810427	1	FALSE
ACD6	Vitvi05g00637	41_retained_homologs	Rpv12	6	2.99444048641525	4.75102783318293e-05	TRUE
CSLG2	Vitvi05g00675	41_retained_homologs	Rpv12	6	1.56218792482339	0.475206598392168	TRUE
CSLG2	Vitvi05g00681	41_retained_homologs	Rpv12	6	0.174436992438404	1	FALSE
SRC2	Vitvi07g02185	41_retained_homologs	Rpv12	6	2.25179585382915	0.321802581873584	TRUE
MYB12	Vitvi07g00393	41_retained_homologs	Rpv12	6	-3.04725751030012	0.19026260041084	TRUE
WRKY47	Vitvi07g00523	41_retained_homologs	Rpv12	6	1.12689120155939	1	TRUE
WRKY51	Vitvi07g01847	41_retained_homologs	Rpv12	6	0.290003951913962	1	FALSE
DPA	Vitvi08g01185	41_retained_homologs	Rpv12	6	-1.69266194194328	0.363425420908728	TRUE
RPS5	Vitvi09g01588	41_retained_homologs	Rpv12	6	-0.777149795814761	1	FALSE
RPS5	Vitvi09g00368	41_retained_homologs	Rpv12	6	-0.0918663803970483	1	FALSE
RPS5	Vitvi09g00419	41_retained_homologs	Rpv12	6	5.09514263541279	5.91264067236572e-21	TRUE
RPS5	Vitvi09g04351	41_retained_homologs	Rpv12	6	0.128484380283635	1	FALSE
RPS5	Vitvi09g02033	41_retained_homologs	Rpv12	6	3.7610561977536	3.22436719962196e-16	TRUE
NAC29	Vitvi01g01038	41_retained_homologs	Rpv12	24	-1.17270350700772	1	TRUE
CSLG2	Vitvi01g04261	41_retained_homologs	Rpv12	24	-0.208170839282823	1	FALSE
SRG1	Vitvi10g00685	41_retained_homologs	Rpv12	24	-1.32585666618665	0.962956572487366	TRUE
SRG1	Vitvi10g00687	41_retained_homologs	Rpv12	24	-5.74385181406072	0.000326867740614051	TRUE
SRG1	Vitvi10g00694	41_retained_homologs	Rpv12	24	-0.013301631822284	1	FALSE
MAPKKK1	Vitvi12g01776	41_retained_homologs	Rpv12	24	-5.95026488130739	9.49072803920547e-06	TRUE
