"anchor","anchor_label","partner","r_protected"
"Vitvi17g04216","EDS1","Vitvi14g00113",0.837041328664597
"Vitvi17g04216","EDS1","Vitvi14g00114",0.849836411220637
"Vitvi17g04216","EDS1","Vitvi14g00363",0.825219380380824
"Vitvi17g04216","EDS1","Vitvi14g01152",0.825135104797912
"Vitvi17g04216","EDS1","Vitvi14g01198",0.87659551150108
"Vitvi17g04216","EDS1","Vitvi14g01325",0.852558327937487
"Vitvi17g04216","EDS1","Vitvi14g01358",0.879022842035122
"Vitvi17g04216","EDS1","Vitvi14g01672",0.844948807704973
"Vitvi17g04216","EDS1","Vitvi14g01840",0.845973442084906
"Vitvi17g04216","EDS1","Vitvi14g01911",0.880974627713679
"Vitvi17g04216","EDS1","Vitvi14g01967",0.855108820576712
"Vitvi17g04216","EDS1","Vitvi14g02430",0.800356451424717
"Vitvi17g04216","EDS1","Vitvi14g02444",0.870268397709782
"Vitvi17g04216","EDS1","Vitvi14g02920",0.857749028306381
"Vitvi17g04216","EDS1","Vitvi14g02928",0.857189347243602
"Vitvi17g04216","EDS1","Vitvi14g02948",0.858413241052903
"Vitvi17g04216","EDS1","Vitvi14g03030",0.917619155140324
"Vitvi17g04216","EDS1","Vitvi14g03031",0.92899795201821
"Vitvi17g04216","EDS1","Vitvi14g03041",0.877167654032506
"Vitvi17g04216","EDS1","Vitvi14g03050",0.84612964680679
"Vitvi17g04216","EDS1","Vitvi14g03055",0.879211242008025
"Vitvi17g04216","EDS1","Vitvi14g03074",0.909260202172188
"Vitvi17g04216","EDS1","Vitvi14g03121",0.889328088982271
"Vitvi17g04216","EDS1","Vitvi14g04635",0.895228555198471
"Vitvi17g04216","EDS1","Vitvi15g00424",0.834092627500996
"Vitvi17g04216","EDS1","Vitvi15g00577",0.813190310170515
"Vitvi17g04216","EDS1","Vitvi15g00774",0.828835663549229
"Vitvi17g04216","EDS1","Vitvi15g00933",0.841406633608906
"Vitvi17g04216","EDS1","Vitvi15g00943",0.838238021219414
"Vitvi17g04216","EDS1","Vitvi15g00950",0.844787690036978
"Vitvi17g04216","EDS1","Vitvi15g00952",0.8368172512011
"Vitvi17g04216","EDS1","Vitvi15g01539",0.844905243720414
"Vitvi17g04216","EDS1","Vitvi15g01542",0.849939791120356
"Vitvi17g04216","EDS1","Vitvi15g01544",0.863771308330952
"Vitvi17g04216","EDS1","Vitvi15g04001",0.892680144137327
"Vitvi17g04216","EDS1","Vitvi15g04169",0.832747140304558
"Vitvi17g04216","EDS1","Vitvi16g00071",0.840611506586144
"Vitvi17g04216","EDS1","Vitvi16g00715",0.886119372095567
"Vitvi17g04216","EDS1","Vitvi16g00855",0.837872175922322
"Vitvi17g04216","EDS1","Vitvi16g00860",0.848641645578764
"Vitvi09g04475","EIX1","Vitvi00g04469",0.849577835994768
"Vitvi09g04475","EIX1","Vitvi01g01400",0.824446763869591
"Vitvi09g04475","EIX1","Vitvi01g01618",0.819676995595228
"Vitvi09g04475","EIX1","Vitvi01g04414",0.913721097525682
"Vitvi09g04475","EIX1","Vitvi01g04416",0.807577166091618
"Vitvi09g04475","EIX1","Vitvi01g04419",0.882970249226814
"Vitvi09g04475","EIX1","Vitvi01g04429",0.806517026081196
"Vitvi09g04475","EIX1","Vitvi07g00060",0.864858758208485
"Vitvi09g04475","EIX1","Vitvi07g01920",0.834999659595393
"Vitvi09g04475","EIX1","Vitvi08g00671",0.86416905549471
"Vitvi09g04475","EIX1","Vitvi08g00703",0.890259141975094
"Vitvi09g04475","EIX1","Vitvi08g02068",0.824174055317747
"Vitvi09g04475","EIX1","Vitvi09g01335",0.890615368168573
"Vitvi09g04475","EIX1","Vitvi09g01853",0.836537728747827
"Vitvi09g04475","EIX1","Vitvi09g04205",0.854502029894674
"Vitvi09g04475","EIX1","Vitvi09g04208",0.908661960858552
"Vitvi09g04475","EIX1","Vitvi09g04219",0.806594999917266
"Vitvi09g04475","EIX1","Vitvi09g04221",0.869147336835918
"Vitvi09g04475","EIX1","Vitvi09g04535",0.898042090735376
"Vitvi09g04475","EIX1","Vitvi09g04536",0.883152480418882
"Vitvi09g04475","EIX1","Vitvi09g04541",0.884536639717976
"Vitvi09g04475","EIX1","Vitvi09g04548",0.816903245536922
"Vitvi09g04475","EIX1","Vitvi09g04565",0.916023249959827
"Vitvi09g04475","EIX1","Vitvi10g02023",0.861834306579298
"Vitvi09g04475","EIX1","Vitvi11g01641",0.7897119070265
"Vitvi09g04475","EIX1","Vitvi13g04184",0.863185589302884
