"gene","baseMean","log2FC_MLE","log2FC_apeglm","lfcSE_apeglm","statistic_zero_null","pvalue_zero_null","padj_zero_null","DE_primary"
"Vitvi07g02016",2149.27302266836,0.0624191254782559,0.0577913001314002,0.13431522067488,0.446854466823946,0.654980141867547,0.78222278252379,FALSE
"Vitvi07g02019",6518.85240020771,-0.155511605117688,-0.143651343988131,0.136444489015307,-1.09945045997327,0.271571631246786,0.441303900776027,FALSE
"Vitvi07g02020",1426.04063427969,0.210719045282136,0.200818010841384,0.118600655480436,1.73595250965557,0.0825722320144925,0.185922797642068,FALSE
"Vitvi07g02021",926.27860064768,-0.00683500164248756,-0.00613045743000872,0.139670646061428,-0.0468532475133162,0.962630190220273,0.980766981149536,FALSE
"Vitvi07g02022",210.948834250484,1.38555978306694,1.20023755539374,0.401830846552592,3.59433111508114,0.000325226021120572,0.00205070523876534,TRUE
"Vitvi07g02023",7569.27981409196,0.781525346240217,0.737211454109072,0.176847000981684,4.42873656348251,9.47867141735851e-06,9.5101818254845e-05,FALSE
"Vitvi07g04771",34.4210352139218,-0.720961267777468,-0.501444415838163,0.373039847845956,-1.81668892600153,0.0692647583401853,0.162769266916004,FALSE
"Vitvi07g04772",3441.88452502816,-0.457681568840427,-0.438129077892086,0.11985732458466,-3.78330574420805,0.000154759116709604,0.00107854818270179,FALSE
"Vitvi07g02028",853.17526696272,-0.303637948310474,-0.277188841165549,0.156056134712057,-1.88237421201684,0.0597852247456321,0.145609946506974,FALSE
"Vitvi07g02029",251.799100443929,-0.260398260685333,-0.162267052316105,0.311078409458798,-0.676268883866158,0.498869944769237,0.661295114419362,FALSE
"Vitvi07g02031",444.920163361554,0.502846668466539,0.458543366494889,0.178888832370129,2.76189949084615,0.00574661659583344,0.0227804286566106,FALSE
"Vitvi07g02034",2629.07788849173,-0.63358600555533,-0.569202085062417,0.208102624068251,-3.01364482328601,0.00258129807319819,0.0117919229222353,FALSE
"Vitvi07g04773",6.57195629913429,-0.548425492612497,-0.151017428700051,0.437762109504235,-0.679674479012579,0.496710598989289,0.659116376283744,FALSE
"Vitvi07g02035",271.739291279088,0.301640559921467,0.266360649156731,0.181515851133765,1.5855689127361,0.112837132881943,0.234384721520211,FALSE
"Vitvi07g02036",2165.78506384709,-0.18684304018558,-0.181308233839323,0.0856455047360226,-2.15375002541203,0.0312597807309678,0.0881510028845246,FALSE
"Vitvi07g02038",456.575968571617,0.348313488707591,0.308120930997737,0.185038358874512,1.80672384876865,0.0708053472887971,0.165484159308078,FALSE
"Vitvi07g02039",1.7320354191336,-2.21816073696222,-0.0819620692415698,0.487738462429142,-0.920128813228878,0.357505448953166,NA,FALSE
"Vitvi07g02724",2.00597352124914,-2.61455447558818,-0.0999671182822284,0.49301586830459,-1.10645794468051,0.268528357197331,NA,FALSE
"Vitvi07g02040",1993.5123310532,0.0717180843182731,0.0677314303486197,0.117610246655785,0.592265885446871,0.553672556360295,0.707097602570381,FALSE
"Vitvi07g02041",853.592321772337,0.879068899403584,0.822153074067765,0.201246858950789,4.39656882689456,1.09975499200948e-05,0.000108825556010366,FALSE
"Vitvi07g02042",334.66223626427,1.12969956012227,1.08121207527357,0.194306628289945,5.8656280052644,4.47435923281878e-09,9.99303391057746e-08,TRUE
"Vitvi07g02043",8428.85696008332,0.341968922830014,0.330781891359293,0.0987393478512449,3.42689998013359,0.00061051389886981,0.0035070003645469,FALSE
"Vitvi07g04774",1098.98166739417,0.511210644270412,0.492276532949276,0.117146385942038,4.33778736013767,1.43924296099691e-05,0.00013754408340139,FALSE
