	Cult1_0h	Cult1_6h	Cult1_24h	Cult2_0h	Cult2_6h	Cult2_24h	Cult3_0h	Cult3_6h	Cult3_24h
Vitvi03g00248	0	0	0	0	1	0	0	0	0
Vitvi03g00251	0	-1	0	0	0	0	0	-1	0
Vitvi03g00253	0	0	0	0	-1	0	0	0	0
Vitvi03g00274	0	0	0	0	0	0	0	-1	0
Vitvi03g00312	0	0	0	0	1	0	0	1	0
Vitvi03g00315	0	0	0	0	0	0	-1	-1	0
Vitvi03g00318	0	0	-1	0	0	0	-1	-1	0
Vitvi03g00325	0	0	-1	0	0	0	0	-1	-1
Vitvi03g00328	0	0	0	0	0	0	0	-1	0
Vitvi03g00340	0	0	0	0	0	0	0	-1	0
Vitvi03g00352	0	0	0	0	0	0	0	-1	0
Vitvi03g00353	0	0	1	0	0	0	0	0	0
Vitvi03g00380	0	0	0	0	0	0	0	-1	0
Vitvi03g00388	0	-1	0	0	-1	0	0	-1	0
Vitvi03g00407	0	0	0	0	-1	0	0	-1	0
Vitvi03g00413	0	-1	0	0	0	0	0	-1	0
Vitvi03g00426	0	0	0	0	1	0	0	1	0
Vitvi03g00433	0	0	1	0	0	0	0	0	0
Vitvi03g00447	0	0	0	0	-1	0	0	0	0
Vitvi03g00481	0	0	-1	0	0	0	0	0	0
Vitvi03g00482	0	0	0	0	0	0	0	-1	0
Vitvi03g00500	0	-1	0	0	0	0	0	0	0
Vitvi03g00508	0	0	0	0	1	0	0	0	0
Vitvi03g00516	0	-1	0	0	0	0	0	0	0
Vitvi03g00517	0	0	0	0	-1	0	0	0	0
Vitvi03g00527	0	0	0	0	0	0	0	1	0
Vitvi03g00535	0	0	0	0	-1	0	0	0	0
Vitvi03g00537	0	0	0	0	0	0	0	-1	0
Vitvi03g00542	0	-1	0	0	-1	0	0	0	0
Vitvi03g00547	0	0	0	0	0	0	0	1	0
Vitvi03g00553	0	-1	0	0	-1	0	0	-1	0
Vitvi03g00569	0	-1	0	0	-1	0	0	0	0
Vitvi03g00581	0	-1	0	0	-1	0	0	0	0
Vitvi03g00586	0	-1	0	0	0	0	0	0	0
Vitvi03g00597	0	0	0	0	0	0	0	-1	0
Vitvi03g00610	0	1	1	0	1	0	0	1	0
Vitvi03g00613	0	-1	0	0	0	0	0	0	0
Vitvi03g00614	1	0	0	0	0	0	0	0	0
Vitvi03g00626	0	0	0	0	-1	0	0	0	0
Vitvi03g00638	0	0	0	0	-1	0	0	0	0
Vitvi03g00645	0	0	0	0	1	0	0	0	0
Vitvi03g00661	0	0	0	0	1	0	0	1	0
Vitvi03g00673	0	0	0	0	0	0	-1	0	0
Vitvi03g00675	0	-1	0	0	0	0	0	0	0
Vitvi03g00677	0	-1	0	0	-1	0	0	-1	0
Vitvi03g00691	0	-1	0	0	-1	0	0	-1	0
Vitvi03g00692	0	-1	0	0	-1	0	-1	-1	0
Vitvi03g00702	0	0	0	0	-1	0	0	-1	0
