"GeneID","Immunity_Class"
"Vitvi01g00850","Other"
"Vitvi01g02096","Other"
"Vitvi01g00852","Other"
"Vitvi01g00853","Other"
"Vitvi01g00857","Other"
"Vitvi01g00858","Other"
"Vitvi01g00859","Other"
"Vitvi01g02097","Other"
"Vitvi01g00860","Other"
"Vitvi01g00861","Other"
"Vitvi01g00862","Other"
"Vitvi01g02098","Other"
"Vitvi01g04215","Other"
"Vitvi01g00864","Other"
"Vitvi01g02099","Other"
"Vitvi01g00865","Other"
"Vitvi01g00867","Other"
"Vitvi01g00868","Other"
"Vitvi01g00869","Other"
"Vitvi01g00870","Other"
"Vitvi01g02100","Other"
"Vitvi01g04216","Other"
"Vitvi01g00873","Other"
"Vitvi01g00875","Other"
"Vitvi01g02101","Other"
"Vitvi01g00876","Other"
"Vitvi01g00877","Other"
"Vitvi01g00878","Other"
"Vitvi01g00879","Other"
"Vitvi01g00882","Other"
"Vitvi01g00883","Other"
"Vitvi01g00884","Other"
"Vitvi01g00885","Other"
"Vitvi01g00886","Other"
"Vitvi01g00889","Other"
"Vitvi01g00893","Other"
"Vitvi01g00898","Other"
"Vitvi01g00900","Other"
"Vitvi01g00902","Other"
"Vitvi01g00903","Other"
"Vitvi01g00906","Other"
"Vitvi01g00907","Other"
"Vitvi01g00908","Other"
"Vitvi01g00909","Other"
"Vitvi01g00911","Other"
"Vitvi01g00914","Other"
"Vitvi01g00915","Other"
"Vitvi01g00916","Other"
"Vitvi01g00917","Other"
"Vitvi01g00918","Other"
