"gene","module_size","spearman_rho","pvalue","padj_bonferroni","padj_BH","selected_bonferroni"
"Vitvi09g00172",3,-0.275729352856521,0.103584434864025,1,0.109837606218809,FALSE
"Vitvi09g00177",7,-0.449874207292219,0.00590725996608227,1,0.00783877011041214,FALSE
"Vitvi09g00183",1301,-0.48083778055075,0.00299248981154498,1,0.00453410502311375,FALSE
"Vitvi09g00184",1645,-0.708606768330329,1.32555871382938e-06,0.00894089352477917,4.98099917814995e-06,TRUE
"Vitvi09g00185",1548,-0.736395269049165,3.06516025902312e-07,0.0020674505947111,1.41026643568288e-06,TRUE
"Vitvi09g00187",4,0.487897282267239,0.00253992909673463,1,0.00408484066701838,FALSE
"Vitvi09g00206",17,-0.689897685138033,3.24336512260011e-06,0.0218764977519378,1.10098126582475e-05,TRUE
"Vitvi09g00219",4,-0.478898349698169,0.00312849885508842,1,0.00453410502311375,FALSE
"Vitvi09g00233",43,0.410891566594578,0.012796413512423,1,0.0156702630975478,FALSE
"Vitvi09g00241",33,-0.871803796758112,4.47877128763482e-12,3.02093123350969e-08,6.37433557086811e-10,TRUE
"Vitvi09g00253",85,-0.539476534276451,0.000685374957652174,1,0.00123046422394568,FALSE
"Vitvi09g00255",26,-0.602696642800707,0.000100304716366618,0.67655531189284,0.000225781706212537,FALSE
"Vitvi09g00258",69,-0.517435182162141,0.00123020463625639,1,0.00208538081717752,FALSE
"Vitvi09g00260",7,-0.434436679776499,0.0081078873953683,1,0.0104986946595813,FALSE
"Vitvi09g00261",1669,-0.824356049428621,6.44165101155286e-10,4.3448936072924e-06,1.25213072256265e-08,TRUE
"Vitvi09g00264",1216,-0.713238185116801,1.05085825073373e-06,0.00708803890119901,4.03697998757342e-06,TRUE
"Vitvi09g00273",1152,-0.750289519408583,1.37448227308175e-07,0.000927088293193644,7.28270458125407e-07,TRUE
"Vitvi09g00275",33,0.700574828840639,1.96254541153154e-06,0.0132373688007803,7.02993563503997e-06,TRUE
"Vitvi09g00284",8,-0.528816597633535,0.000913992430746975,1,0.00158398739604018,FALSE
"Vitvi09g00285",5,0.642715557123835,2.37142693864177e-05,0.159952747011387,6.48632388529556e-05,FALSE
"Vitvi09g00290",7,-0.386344167716406,0.019941660477932,1,0.0235563047151754,FALSE
