"coeff."	"p-value"	"p-wilcox"	"padj (FDR)"	"padjW (FDR)"	"log2FCH (Rpv1_vs_wt)"	"proteID"
"Vitvi01g00163"	-0.350798231238703	0.179736699266295	0.4	0.379378099943513	0.658298220237721	0.3507982312387	"F6HF51"
"Vitvi01g04040"	0.250701258453213	0.194116268497402	0.4	0.397182264495809	0.658298220237721	-0.250701258453214	"F6HF50"
"Vitvi01g04041"	0.441815619639771	0.106169082421068	0.1	0.278221493446066	0.266215666327569	-0.441815619639772	"F6HF50"
"Vitvi01g00166"	0.0731690417269498	0.30990396118319	0.4	0.519976615881289	0.658298220237721	-0.0731690417269544	"F6HF49"
"Vitvi01g00167"	-0.209842625132655	0.122211972458751	0.2	0.302341189948295	0.416936190552059	0.209842625132653	"D7T9H2"
"Vitvi01g00168"	-0.0822163333004703	0.352397868054496	0.7	0.557450269547126	0.808540783898305	0.0822163333004671	"F6HF48"
"Vitvi01g00169"	-0.0518499768359395	0.487865732422198	0.7	0.66135727251836	0.808540783898305	0.0518499768359373	"D7T9H0"
"Vitvi01g00170"	-0.0232610000726001	0.862396533432142	0.7	0.923708860649383	0.808540783898305	0.0232610000726012	"D7T9G8"
"Vitvi01g00171"	-0.0678913543911018	0.487526776325975	1	0.661075092474969	1	0.0678913543911008	"F6HF47"
"Vitvi01g00172"	0.00773333216144886	0.311495287116914	0.4	0.521463675061574	0.658298220237721	-0.007733332161449	"D7T9G6"
"Vitvi01g00173"	0.113951455932066	0.547028453202765	1	0.707498394616566	1	-0.113951455932067	"F6HF46"
"Vitvi01g00174"	-0.0864296130005018	0.252695037943055	0.4	0.463194302363206	0.658298220237721	0.0864296130004991	"D7T9G4"
"Vitvi01g04042"	-0.207749574613281	0.056068292341267	0.1	0.189788014781867	0.266215666327569	0.20774957461328	NA
"Vitvi01g00175"	0.396402999437797	0.00267270323913737	0.1	0.0394706382985248	0.266215666327569	-0.3964029994378	"A5AP38"
